Title,Year,imdbID,Type,Poster
The Avengers: A Visual Journey,2012,tt5180256,movie,
Avengers: Infinity War Demastered,2019,tt13925114,movie,
Avengers: Infinity - Stop Motion Movie,2020,tt12287372,movie,
Avengers,1987,tt2164490,game,
Avenging the Avengers,2000,tt0285444,movie,
Avengers: Damage Control,2019,tt11083974,game,
Avengers Civil War Stop Motion: Fallen Son,2018,tt9399416,movie,
Avengers S.T.A.T.I.O.N.,2014,tt6331934,movie,
Road to 'The Avengers',2011,tt5484160,movie,
"The Lesbian Avengers Eat Fire, Too",1993,tt7870278,movie,
Black Panther: The Fallen Avengers,2018,tt7958082,movie,
Lego Avengers - Spider-Man Meets Social Media,2020,tt12999320,movie,
Rifftrax: Avengers: Endgame,2020,tt16103750,movie,
Avengers of the Apocalypse!,2008,tt1545015,movie,
Baby Avengers,2017–,tt6629798,series,
First Look at Ultimate Avengers II,2006,tt0933366,movie,
Avengers of the Reef,1973,tt0069746,movie,
Avengers: Infinity War Recreation,2018,tt8785008,movie,
Avengers: Reassembled,2018,tt8875872,movie,
Avengers Age of Ultron: Marvelous Movie Shawarma,2013,tt3291874,movie,
The Avengers Badly Animated Adventures,2013,tt3328602,movie,
Avengers: Age of Ultron Parody,2015,tt5262972,movie,
Avengers: Age of Ultron - Bookending the Action,2015,tt6731268,movie,
Secret Avengers: The Coldest War,2019,tt13267444,movie,
Bully Avengers,2011,tt1992098,movie,
Avengers: Civil War,2022–,tt15608590,series,
A Brighter Summer Day for the Lady Avengers,2024,tt36618992,movie,
Shaolin Avengers,2025,tt29928418,movie,
